"Year","MeanSpawn","MedSpawn","DurSpawn","StartSpawn","Spawn10","Spawn20","EndSpawn","StartDOY","EndDOY","meanDOY","mismatchmean","mismatch20","mismatch10","mismatchmed"
1979,106.871753950815,105.430726489904,17.9838905563064,96.4307264899035,103.430726489904,104.430726489904,117.430726489904,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,93,105,99,NA,NA,NA,NA
1981,108.02392754227,108.21028835527,24.6166893212722,94.2102883552698,100.21028835527,103.21028835527,119.21028835527,61,88,74.5,33.52392754227,28.71028835527,25.71028835527,33.71028835527
1982,110.171669378333,110.554239239124,22.0204785435964,97.5542392391236,104.554239239124,106.554239239124,121.554239239124,NA,NA,NA,NA,NA,NA,NA
1983,101.24197514901,101.613615455382,27.1489007001886,87.6136154553818,92.6136154553818,95.6136154553818,114.613615455382,65,78,71.5,29.74197514901,24.1136154553818,21.1136154553818,30.113615455382
1984,NA,NA,NA,NA,NA,NA,NA,61,78,69.5,NA,NA,NA,NA
1985,107.122227847426,106.543289051764,30.0273087598617,93.5432890517636,99.5432890517636,100.543289051764,122.543289051764,52,79,65.5,41.622227847426,35.043289051764,34.0432890517636,41.043289051764
1986,NA,NA,NA,NA,NA,NA,NA,64,89,76.5,NA,NA,NA,NA
1987,110.70919659967,110.834777412608,19.4153715801226,100.834777412608,104.834777412608,106.834777412608,120.834777412608,71,88,79.5,31.20919659967,27.334777412608,25.334777412608,31.334777412608
1988,110.384115554406,111.324022346369,39.2938539582942,88.3240223463687,97.3240223463687,102.324022346369,127.324022346369,71,87,79,31.384115554406,23.324022346369,18.3240223463687,32.324022346369
1989,110.138244317123,109.640926640927,29.3318730069161,95.6409266409267,101.640926640927,104.640926640927,125.640926640927,73,89,81,29.138244317123,23.640926640927,20.640926640927,28.640926640927
1990,106.165200511679,105.319904666718,42.6394752631472,85.3199046667179,94.3199046667179,98.3199046667179,127.319904666718,74,90,82,24.165200511679,16.3199046667179,12.3199046667179,23.319904666718
1991,109.637053474653,109.795031055901,16.7061439603968,101.795031055901,104.795031055901,106.795031055901,118.795031055901,77,86,81.5,28.137053474653,25.295031055901,23.295031055901,28.295031055901
1992,104.88062712552,104.34309623431,30.0495872721791,91.3430962343096,95.3430962343096,98.3430962343096,121.34309623431,79,87,83,21.88062712552,15.3430962343096,12.3430962343096,21.34309623431
1993,109.693494186512,109.413903899518,37.5749513458576,91.413903899518,98.413903899518,102.413903899518,126.413903899518,73,81,77,32.693494186512,25.413903899518,21.413903899518,32.413903899518
1994,101.206504445064,102.117081780741,45.2381591369181,77.1170817807413,87.1170817807413,92.1170817807413,121.117081780741,74,85,79.5,21.706504445064,12.6170817807413,7.6170817807413,22.617081780741
1995,101.410410157707,102.734612116062,46.520292179969,74.7346121160617,85.7346121160617,92.7346121160617,119.734612116062,77,91,84,17.410410157707,8.7346121160617,1.7346121160617,18.734612116062
1996,99.6410236186833,100.396963123644,38.0457547816734,78.3969631236442,87.3969631236442,92.3969631236442,115.396963123644,75,86,80.5,19.1410236186833,11.8969631236442,6.8969631236442,19.896963123644
1997,100.005947765104,99.7425742574257,33.9484715546149,83.7425742574257,89.7425742574257,93.7425742574257,118.742574257426,73,84,78.5,21.505947765104,15.2425742574257,11.2425742574257,21.2425742574257
1998,103.235042181304,102.361899845121,42.7096926054877,81.3618998451213,90.3618998451213,95.3618998451213,124.361899845121,72,83,77.5,25.735042181304,17.8618998451213,12.8618998451213,24.861899845121
1999,113.062759858596,112.597429425008,25.3679435709138,101.597429425008,105.597429425008,107.597429425008,126.597429425008,NA,NA,NA,NA,NA,NA,NA
2000,106.250426096306,107.597267033593,49.7744197845641,76.5972670335927,91.5972670335927,97.5972670335927,126.597267033593,77,85,81,25.250426096306,16.5972670335927,10.5972670335927,26.597267033593
2001,106.632706741175,109.651277552363,57.6245953283532,68.6512775523632,88.6512775523632,97.6512775523632,127.651277552363,72,77,74.5,32.132706741175,23.1512775523632,14.1512775523632,35.151277552363
2002,118.748667744758,119.931034482759,24.1747730590237,103.931034482759,109.931034482759,113.931034482759,128.931034482759,73,79,76,42.748667744758,37.931034482759,33.931034482759,43.931034482759
2003,112.447862685214,112.480039778378,35.1049501452208,94.4800397783776,101.480039778378,105.480039778378,128.480039778378,75,81,78,34.447862685214,27.480039778378,23.480039778378,34.480039778378
2004,115.389499810725,115.755635707845,28.0001382487922,101.755635707845,106.755635707845,109.755635707845,128.755635707845,85,90,87.5,27.889499810725,22.255635707845,19.255635707845,28.255635707845
2005,103.048829368364,104.976685964638,55.4580683132117,70.9766859646378,82.9766859646378,91.9766859646378,123.976685964638,83,88,85.5,17.548829368364,6.4766859646378,-2.5233140353622,19.476685964638
2006,104.088832337456,104.774269795712,37.6735166079353,82.7742697957116,91.7742697957116,96.7742697957116,119.774269795712,75,81,78,26.088832337456,18.7742697957116,13.7742697957116,26.774269795712
2007,120.207798993679,120.868204283361,18.9193006720988,109.868204283361,112.868204283361,116.868204283361,126.868204283361,72,82,77,43.207798993679,39.868204283361,35.868204283361,43.868204283361
2008,120.387460669952,120.919917864476,20.2410631015134,109.919917864476,113.919917864476,116.919917864476,127.919917864476,74,79,76.5,43.887460669952,40.419917864476,37.419917864476,44.419917864476
2009,123.851435682346,124.148148148148,22.8167027257392,112.148148148148,116.148148148148,119.148148148148,134.148148148148,82,87,84.5,39.351435682346,34.648148148148,31.648148148148,39.648148148148
2010,114.63189427197,115.596741344196,25.6718698254507,100.596741344196,106.596741344196,110.596741344196,125.596741344196,81,87,84,30.63189427197,26.596741344196,22.596741344196,31.596741344196
2011,106.123210175465,105.908147935797,39.4770003007399,88.908147935797,94.908147935797,97.908147935797,127.908147935797,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA,80,86,83,NA,NA,NA,NA
2013,106.46336116378,106.784230106161,21.9435796166408,96.784230106161,98.784230106161,102.784230106161,117.784230106161,75,84,79.5,26.96336116378,23.284230106161,19.284230106161,27.284230106161
2014,NA,NA,NA,NA,NA,NA,NA,74,81,77.5,NA,NA,NA,NA
2015,107.649492565804,107.73474801061,28.0566094969662,95.7347480106101,98.7347480106101,101.73474801061,123.73474801061,76,82,79,28.649492565804,22.73474801061,19.7347480106101,28.73474801061
2016,NA,NA,NA,NA,NA,NA,NA,74,81,77.5,NA,NA,NA,NA
2017,93.7527659529592,93.5796162471966,51.2580013390766,69.5796162471966,77.5796162471966,82.5796162471966,118.579616247197,77,83,80,13.7527659529592,2.5796162471966,-2.4203837528034,13.5796162471966
2018,NA,NA,NA,NA,NA,NA,NA,75,80,77.5,NA,NA,NA,NA
2019,92.3873561625384,86.7446808510638,77.6976103071283,61.7446808510638,69.7446808510638,74.7446808510638,123.744680851064,66,75,70.5,21.8873561625384,4.2446808510638,-0.755319148936195,16.2446808510638
2020,NA,NA,NA,NA,NA,NA,NA,66,75,70.5,NA,NA,NA,NA
2021,NA,NA,NA,NA,NA,NA,NA,62,70,66,NA,NA,NA,NA
